16:13:34.297605 IP6 fe80::a00:27ff:fea0:484e > ff02::2: ICMP6, router solicitation, length 16
16:13:36.336015 IP 10.12.254.254 > 224.0.0.13: PIMv2, Hello, length 30
16:13:36.391462 IP 10.12.13.5.5353 > 224.0.0.251.5353: 0 PTR (QU)? _googlecast._tcp.local. (40)
16:13:36.391478 IP6 fe80::c88:8696:fbe8:e71a.5353 > ff02::fb.5353: 0 PTR (QU)? _googlecast._tcp.local. (40)
16:13:37.395193 IP 10.12.13.5.5353 > 224.0.0.251.5353: 0 PTR (QM)? _googlecast._tcp.local. (40)
16:13:37.395210 IP6 fe80::c88:8696:fbe8:e71a.5353 > ff02::fb.5353: 0 PTR (QM)? _googlecast._tcp.local. (40)
16:13:37.970886 IP 10.12.3.13.57621 > 10.12.255.255.57621: UDP, length 44
16:13:39.516506 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:13:39.516535 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:13:39.717399 ARP, Request who-has 10.12.19.23 tell 10.12.100.171, length 46
16:13:41.285331 IP 10.12.100.171.47555 > 10.12.19.23.32781: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.285339 IP 10.12.100.171.47555 > 10.12.19.23.5544: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.285341 IP 10.12.100.171.47555 > 10.12.19.23.88: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.285380 IP 10.12.100.171.47555 > 10.12.19.23.1059: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.285383 IP 10.12.100.171.47555 > 10.12.19.23.9040: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.285385 IP 10.12.100.171.47555 > 10.12.19.23.1658: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.285386 IP 10.12.100.171.47555 > 10.12.19.23.12174: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.285433 IP 10.12.100.171.47554 > 10.12.19.23.27355: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.285437 IP 10.12.100.171.47554 > 10.12.19.23.264: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.285477 IP 10.12.100.171.47554 > 10.12.19.23.1001: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.334924 IP 10.12.13.5.5353 > 224.0.0.251.5353: 0 PTR (QU)? _privet._tcp.local. (36)
16:13:41.334940 IP6 fe80::c88:8696:fbe8:e71a.5353 > ff02::fb.5353: 0 PTR (QU)? _privet._tcp.local. (36)
16:13:41.335619 IP 10.12.100.171.47555 > 10.12.19.23.1001: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.335632 IP 10.12.100.171.47555 > 10.12.19.23.264: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.335634 IP 10.12.100.171.47555 > 10.12.19.23.27355: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.335676 IP 10.12.100.171.47554 > 10.12.19.23.6667: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.335679 IP 10.12.100.171.47554 > 10.12.19.23.50636: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.335680 IP 10.12.100.171.47554 > 10.12.19.23.3800: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.335723 IP 10.12.100.171.47554 > 10.12.19.23.144: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.335726 IP 10.12.100.171.47554 > 10.12.19.23.1914: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.335727 IP 10.12.100.171.47554 > 10.12.19.23.49157: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.335790 IP 10.12.100.171.47554 > 10.12.19.23.1296: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.385769 IP 10.12.100.171.47554 > 10.12.19.23.6839: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.388097 IP 10.12.100.171.47555 > 10.12.19.23.1296: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.388104 IP 10.12.100.171.47555 > 10.12.19.23.49157: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.388121 IP 10.12.100.171.47555 > 10.12.19.23.1914: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.388123 IP 10.12.100.171.47555 > 10.12.19.23.144: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.388216 IP 10.12.100.171.47555 > 10.12.19.23.3800: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.388235 IP 10.12.100.171.47555 > 10.12.19.23.50636: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.388236 IP 10.12.100.171.47555 > 10.12.19.23.6667: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.388323 IP 10.12.100.171.47554 > 10.12.19.23.1000: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.388342 IP 10.12.100.171.47554 > 10.12.19.23.16993: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.435902 IP 10.12.100.171.47555 > 10.12.19.23.6839: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
