16:21:46.185930 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:21:46.185980 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:21:49.004004 IP 10.12.100.171.43770 > 10.12.19.23.1126: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.004059 IP 10.12.100.171.43770 > 10.12.19.23.6667: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.054808 IP 10.12.100.171.43771 > 10.12.19.23.6667: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.054821 IP 10.12.100.171.43771 > 10.12.19.23.1126: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.054823 IP 10.12.100.171.43771 > 10.12.19.23.38292: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.054824 IP 10.12.100.171.43771 > 10.12.19.23.50003: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.054879 IP 10.12.100.171.43771 > 10.12.19.23.1455: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.054883 IP 10.12.100.171.43771 > 10.12.19.23.9102: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.054884 IP 10.12.100.171.43772 > 10.12.19.23.32778: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.105227 IP 10.12.100.171.43772 > 10.12.19.23.9102: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.105250 IP 10.12.100.171.43772 > 10.12.19.23.1455: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.105251 IP 10.12.100.171.43772 > 10.12.19.23.50003: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.105253 IP 10.12.100.171.43772 > 10.12.19.23.38292: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.105305 IP 10.12.100.171.43772 > 10.12.19.23.1126: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.105309 IP 10.12.100.171.43772 > 10.12.19.23.6667: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.105310 IP 10.12.100.171.43770 > 10.12.19.23.6668: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.155822 IP 10.12.100.171.43771 > 10.12.19.23.6668: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.155841 IP 10.12.100.171.43770 > 10.12.19.23.32773: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.155843 IP 10.12.100.171.43770 > 10.12.19.23.20005: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.155844 IP 10.12.100.171.43770 > 10.12.19.23.1201: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.155890 IP 10.12.100.171.43770 > 10.12.19.23.19283: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.155894 IP 10.12.100.171.43770 > 10.12.19.23.808: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.155895 IP 10.12.100.171.43770 > 10.12.19.23.14000: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.206130 IP 10.12.100.171.43771 > 10.12.19.23.14000: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.206179 IP 10.12.100.171.43771 > 10.12.19.23.808: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.206182 IP 10.12.100.171.43771 > 10.12.19.23.19283: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.206183 IP 10.12.100.171.43771 > 10.12.19.23.1201: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.206185 IP 10.12.100.171.43771 > 10.12.19.23.20005: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.206186 IP 10.12.100.171.43771 > 10.12.19.23.32773: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.206297 IP 10.12.100.171.43772 > 10.12.19.23.6668: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.257164 IP 10.12.100.171.43772 > 10.12.19.23.32773: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.257175 IP 10.12.100.171.43772 > 10.12.19.23.20005: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.257177 IP 10.12.100.171.43772 > 10.12.19.23.1201: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.257178 IP 10.12.100.171.43772 > 10.12.19.23.19283: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.257263 IP 10.12.100.171.43772 > 10.12.19.23.808: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.257267 IP 10.12.100.171.43772 > 10.12.19.23.14000: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.257283 IP 10.12.100.171.43770 > 10.12.19.23.3851: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.308022 IP 10.12.100.171.43771 > 10.12.19.23.3851: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.308046 IP 10.12.100.171.43770 > 10.12.19.23.1088: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.308048 IP 10.12.100.171.43770 > 10.12.19.23.6901: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.308050 IP 10.12.100.171.43770 > 10.12.19.23.5718: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.308051 IP 10.12.100.171.43770 > 10.12.19.23.1583: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.308053 IP 10.12.100.171.43770 > 10.12.19.23.1049: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.308100 IP 10.12.100.171.43770 > 10.12.19.23.9535: Flags [.], ack 4201513115, win 1024, length 0
