16:18:56.442910 IP 10.12.10.1.5353 > 224.0.0.251.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:56.442937 IP6 fe80::10ff:9e5:978:2f7e.5353 > ff02::fb.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:57.402921 IP 10.12.3.13.57621 > 10.12.255.255.57621: UDP, length 44
16:19:00.061712 IP6 fe80::10ff:9e5:978:2f7e.5353 > ff02::fb.5353: 0 [4q] PTR (QM)? _airport._tcp.local. PTR (QM)? _googlecast._tcp.local. PTR (QM)? _airplay._tcp.local. PTR (QM)? _raop._tcp.local. (82)
16:19:00.573034 IP 10.12.100.171.44371 > 10.12.19.23.3371: Flags [none], win 1024, length 0
16:19:00.573078 IP 10.12.100.171.44371 > 10.12.19.23.8084: Flags [none], win 1024, length 0
16:19:00.573079 IP 10.12.100.171.44371 > 10.12.19.23.19350: Flags [none], win 1024, length 0
16:19:00.573080 IP 10.12.100.171.44371 > 10.12.19.23.1352: Flags [none], win 1024, length 0
16:19:00.573081 IP 10.12.100.171.44371 > 10.12.19.23.800: Flags [none], win 1024, length 0
16:19:00.573142 IP 10.12.100.171.44371 > 10.12.19.23.3301: Flags [none], win 1024, length 0
16:19:00.573144 IP 10.12.100.171.44371 > 10.12.19.23.6006: Flags [none], win 1024, length 0
16:19:00.573145 IP 10.12.100.171.44371 > 10.12.19.23.5566: Flags [none], win 1024, length 0
16:19:00.623110 IP 10.12.100.171.44371 > 10.12.19.23.9101: Flags [none], win 1024, length 0
16:19:00.623127 IP 10.12.100.171.44371 > 10.12.19.23.2909: Flags [none], win 1024, length 0
16:19:00.623129 IP 10.12.100.171.44371 > 10.12.19.23.389: Flags [none], win 1024, length 0
16:19:00.625674 IP 10.12.100.171.44371 > 10.12.19.23.139: Flags [none], win 1024, length 0
