11:42:39.704750 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:42:44.399612 IP 10.12.100.44.38345 > 10.12.19.23.18101: Flags [none], win 1024, length 0
11:42:44.399629 IP 10.12.100.44.38346 > 10.12.19.23.1322: Flags [none], win 1024, length 0
11:42:44.403368 IP 10.12.100.44.38346 > 10.12.19.23.1998: Flags [none], win 1024, length 0
11:42:44.449841 IP 10.12.100.44.38346 > 10.12.19.23.18101: Flags [none], win 1024, length 0
11:42:44.449851 IP 10.12.100.44.38344 > 10.12.19.23.1098: Flags [none], win 1024, length 0
11:42:44.454048 IP 10.12.100.44.38344 > 10.12.19.23.808: Flags [none], win 1024, length 0
11:42:44.500159 IP 10.12.100.44.38345 > 10.12.19.23.1098: Flags [none], win 1024, length 0
11:42:44.500177 IP 10.12.100.44.38344 > 10.12.19.23.30951: Flags [none], win 1024, length 0
11:42:44.504480 IP 10.12.100.44.38345 > 10.12.19.23.808: Flags [none], win 1024, length 0
11:42:44.551279 IP 10.12.100.44.38345 > 10.12.19.23.30951: Flags [none], win 1024, length 0
11:42:44.551295 IP 10.12.100.44.38346 > 10.12.19.23.1098: Flags [none], win 1024, length 0
11:42:44.554749 IP 10.12.100.44.38346 > 10.12.19.23.808: Flags [none], win 1024, length 0
11:42:44.601475 IP 10.12.100.44.38346 > 10.12.19.23.30951: Flags [none], win 1024, length 0
11:42:44.601489 IP 10.12.100.44.38344 > 10.12.19.23.49155: Flags [none], win 1024, length 0
11:42:44.605399 IP 10.12.100.44.38344 > 10.12.19.23.2045: Flags [none], win 1024, length 0
11:42:44.651554 IP 10.12.100.44.38344 > 10.12.19.23.425: Flags [none], win 1024, length 0
11:42:44.653947 IP 10.12.100.44.38345 > 10.12.19.23.49155: Flags [none], win 1024, length 0
11:42:44.656481 IP 10.12.100.44.38345 > 10.12.19.23.2045: Flags [none], win 1024, length 0
11:42:44.701826 IP 10.12.100.44.38345 > 10.12.19.23.425: Flags [none], win 1024, length 0
11:42:44.704205 IP 10.12.100.44.38346 > 10.12.19.23.49155: Flags [none], win 1024, length 0
11:42:44.706966 IP 10.12.100.44.38346 > 10.12.19.23.2045: Flags [none], win 1024, length 0
11:42:44.752267 IP 10.12.100.44.38346 > 10.12.19.23.425: Flags [none], win 1024, length 0
11:42:44.754619 IP 10.12.100.44.38344 > 10.12.19.23.2401: Flags [none], win 1024, length 0
11:42:44.757239 IP 10.12.100.44.38344 > 10.12.19.23.1009: Flags [none], win 1024, length 0
11:42:44.802255 IP 10.12.100.44.38344 > 10.12.19.23.10082: Flags [none], win 1024, length 0
11:42:44.805151 IP 10.12.100.44.38345 > 10.12.19.23.2401: Flags [none], win 1024, length 0
11:42:44.807593 IP 10.12.100.44.38345 > 10.12.19.23.1009: Flags [none], win 1024, length 0
