11:44:14.061309 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:44:16.773277 IP 10.12.100.44.45009 > 10.12.19.23.8888: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.824268 IP 10.12.100.44.45009 > 10.12.19.23.256: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.876668 IP 10.12.100.44.45009 > 10.12.19.23.135: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.876698 IP 10.12.100.44.45007 > 10.12.19.23.783: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.876699 IP 10.12.100.44.45007 > 10.12.19.23.10082: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.876700 IP 10.12.100.44.45007 > 10.12.19.23.49175: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.876790 IP 10.12.100.44.45007 > 10.12.19.23.32774: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.926896 IP 10.12.100.44.45008 > 10.12.19.23.32774: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.926927 IP 10.12.100.44.45008 > 10.12.19.23.49175: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.926928 IP 10.12.100.44.45008 > 10.12.19.23.10082: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.926929 IP 10.12.100.44.45008 > 10.12.19.23.783: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.926930 IP 10.12.100.44.45007 > 10.12.19.23.3826: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:16.978158 IP 10.12.100.44.45008 > 10.12.19.23.3826: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:16.978204 IP 10.12.100.44.45009 > 10.12.19.23.783: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.978205 IP 10.12.100.44.45009 > 10.12.19.23.10082: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.978206 IP 10.12.100.44.45009 > 10.12.19.23.49175: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:16.978207 IP 10.12.100.44.45009 > 10.12.19.23.32774: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.028668 IP 10.12.100.44.45009 > 10.12.19.23.3826: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.028697 IP 10.12.100.44.45007 > 10.12.19.23.1111: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.028699 IP 10.12.100.44.45007 > 10.12.19.23.32783: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
