11:43:17.422001 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:43:18.932496 IP 10.12.100.44.64486 > 10.12.19.23.9009: Flags [F], seq 2219911413, win 1024, length 0
11:43:18.977991 IP 10.12.100.44.64487 > 10.12.19.23.3371: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.978009 IP 10.12.100.44.64487 > 10.12.19.23.1113: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.978011 IP 10.12.100.44.64487 > 10.12.19.23.5877: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.980321 IP 10.12.100.44.64487 > 10.12.19.23.1049: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.980329 IP 10.12.100.44.64487 > 10.12.19.23.3814: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.980331 IP 10.12.100.44.64487 > 10.12.19.23.2048: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.980332 IP 10.12.100.44.64487 > 10.12.19.23.7911: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.980349 IP 10.12.100.44.64487 > 10.12.19.23.8333: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.982842 IP 10.12.100.44.64487 > 10.12.19.23.9009: Flags [F], seq 2219845876, win 1024, length 0
11:43:18.982848 IP 10.12.100.44.64487 > 10.12.19.23.1050: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.032661 IP 10.12.100.44.64488 > 10.12.19.23.1050: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.032678 IP 10.12.100.44.64488 > 10.12.19.23.9009: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.032679 IP 10.12.100.44.64488 > 10.12.19.23.8333: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.032726 IP 10.12.100.44.64488 > 10.12.19.23.7911: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.032741 IP 10.12.100.44.64488 > 10.12.19.23.2048: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.032742 IP 10.12.100.44.64488 > 10.12.19.23.3814: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.032841 IP 10.12.100.44.64488 > 10.12.19.23.1049: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.032860 IP 10.12.100.44.64488 > 10.12.19.23.5877: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.082903 IP 10.12.100.44.64488 > 10.12.19.23.1113: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.082914 IP 10.12.100.44.64488 > 10.12.19.23.3371: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.082916 IP 10.12.100.44.64488 > 10.12.19.23.1947: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.082917 IP 10.12.100.44.64488 > 10.12.19.23.5544: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.082978 IP 10.12.100.44.64488 > 10.12.19.23.199: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.082980 IP 10.12.100.44.64488 > 10.12.19.23.23: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.085628 IP 10.12.100.44.64488 > 10.12.19.23.3389: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.085635 IP 10.12.100.44.64488 > 10.12.19.23.139: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.132935 IP 10.12.100.44.64489 > 10.12.19.23.443: Flags [F], seq 2236688885, win 1024, length 0
11:43:20.135392 IP 10.12.100.44.64488 > 10.12.19.23.111: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.135437 IP 10.12.100.44.64488 > 10.12.19.23.445: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.135438 IP 10.12.100.44.64488 > 10.12.19.23.22: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.135439 IP 10.12.100.44.64488 > 10.12.19.23.1723: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.135441 IP 10.12.100.44.64488 > 10.12.19.23.135: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.138034 IP 10.12.100.44.64488 > 10.12.19.23.53: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.138040 IP 10.12.100.44.64488 > 10.12.19.23.25: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.188187 IP 10.12.100.44.64488 > 10.12.19.23.80: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.240892 IP 10.12.100.44.64488 > 10.12.19.23.256: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.240908 IP 10.12.100.44.64488 > 10.12.19.23.554: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.240910 IP 10.12.100.44.64488 > 10.12.19.23.8080: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.240911 IP 10.12.100.44.64488 > 10.12.19.23.993: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.240912 IP 10.12.100.44.64488 > 10.12.19.23.110: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.291509 IP 10.12.100.44.64488 > 10.12.19.23.3306: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.291528 IP 10.12.100.44.64488 > 10.12.19.23.113: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.291530 IP 10.12.100.44.64488 > 10.12.19.23.21: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.291531 IP 10.12.100.44.64488 > 10.12.19.23.1720: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.291594 IP 10.12.100.44.64488 > 10.12.19.23.587: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.341733 IP 10.12.100.44.64488 > 10.12.19.23.8888: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.341766 IP 10.12.100.44.64488 > 10.12.19.23.5900: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.341767 IP 10.12.100.44.64488 > 10.12.19.23.1025: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.341769 IP 10.12.100.44.64488 > 10.12.19.23.143: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.341770 IP 10.12.100.44.64488 > 10.12.19.23.995: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.392394 IP 10.12.100.44.64486 > 10.12.19.23.2045: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.392424 IP 10.12.100.44.64486 > 10.12.19.23.1105: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.392425 IP 10.12.100.44.64486 > 10.12.19.23.2401: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.392426 IP 10.12.100.44.64486 > 10.12.19.23.10215: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.392487 IP 10.12.100.44.64486 > 10.12.19.23.407: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.442472 IP 10.12.100.44.64487 > 10.12.19.23.1105: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.442490 IP 10.12.100.44.64487 > 10.12.19.23.2045: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.445019 IP 10.12.100.44.64487 > 10.12.19.23.407: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.445028 IP 10.12.100.44.64487 > 10.12.19.23.10215: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.445029 IP 10.12.100.44.64487 > 10.12.19.23.2401: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.492787 IP 10.12.100.44.64488 > 10.12.19.23.2045: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.492818 IP 10.12.100.44.64488 > 10.12.19.23.1105: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.495507 IP 10.12.100.44.64488 > 10.12.19.23.2401: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.495512 IP 10.12.100.44.64488 > 10.12.19.23.10215: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.495514 IP 10.12.100.44.64488 > 10.12.19.23.407: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.543008 IP 10.12.100.44.64486 > 10.12.19.23.1233: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.543036 IP 10.12.100.44.64486 > 10.12.19.23.9999: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.546091 IP 10.12.100.44.64486 > 10.12.19.23.18988: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.546116 IP 10.12.100.44.64486 > 10.12.19.23.9594: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.546117 IP 10.12.100.44.64486 > 10.12.19.23.9917: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.593240 IP 10.12.100.44.64487 > 10.12.19.23.9999: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.593257 IP 10.12.100.44.64487 > 10.12.19.23.1233: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.596472 IP 10.12.100.44.64487 > 10.12.19.23.9917: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.596478 IP 10.12.100.44.64487 > 10.12.19.23.9594: Flags [F], seq 2219845876, win 1024, length 0
