11:45:57.047123 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:45:59.969134 IP 10.12.100.44.55668 > 10.12.19.23.8654: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.019228 IP 10.12.100.44.55668 > 10.12.19.23.50389: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.019250 IP 10.12.100.44.55668 > 10.12.19.23.1455: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.019252 IP 10.12.100.44.55668 > 10.12.19.23.18101: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.019254 IP 10.12.100.44.55668 > 10.12.19.23.7676: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.019300 IP 10.12.100.44.55668 > 10.12.19.23.7921: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.019316 IP 10.12.100.44.55668 > 10.12.19.23.9593: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.021899 IP 10.12.100.44.55669 > 10.12.19.23.8654: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.021921 IP 10.12.100.44.55668 > 10.12.19.23.3914: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.021923 IP 10.12.100.44.55668 > 10.12.19.23.497: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.069544 IP 10.12.100.44.55669 > 10.12.19.23.9593: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.069586 IP 10.12.100.44.55669 > 10.12.19.23.7921: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.069588 IP 10.12.100.44.55669 > 10.12.19.23.7676: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.069589 IP 10.12.100.44.55669 > 10.12.19.23.18101: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.069649 IP 10.12.100.44.55669 > 10.12.19.23.1455: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.069652 IP 10.12.100.44.55669 > 10.12.19.23.50389: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.072368 IP 10.12.100.44.55669 > 10.12.19.23.497: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.072377 IP 10.12.100.44.55669 > 10.12.19.23.3914: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.072413 IP 10.12.100.44.55670 > 10.12.19.23.8654: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.120199 IP 10.12.100.44.55670 > 10.12.19.23.50389: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.120223 IP 10.12.100.44.55670 > 10.12.19.23.1455: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.120225 IP 10.12.100.44.55670 > 10.12.19.23.18101: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.120226 IP 10.12.100.44.55670 > 10.12.19.23.7676: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.120304 IP 10.12.100.44.55670 > 10.12.19.23.7921: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.120308 IP 10.12.100.44.55670 > 10.12.19.23.9593: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.122655 IP 10.12.100.44.55670 > 10.12.19.23.3914: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.122665 IP 10.12.100.44.55670 > 10.12.19.23.497: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.122666 IP 10.12.100.44.55668 > 10.12.19.23.7741: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.171353 IP 10.12.100.44.55668 > 10.12.19.23.2002: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.171403 IP 10.12.100.44.55668 > 10.12.19.23.19780: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.171405 IP 10.12.100.44.55668 > 10.12.19.23.5102: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.171445 IP 10.12.100.44.55668 > 10.12.19.23.15004: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.171448 IP 10.12.100.44.55668 > 10.12.19.23.1433: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.171450 IP 10.12.100.44.55668 > 10.12.19.23.61532: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.174035 IP 10.12.100.44.55669 > 10.12.19.23.7741: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.174058 IP 10.12.100.44.55668 > 10.12.19.23.3880: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.174060 IP 10.12.100.44.55668 > 10.12.19.23.55555: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.221405 IP 10.12.100.44.55669 > 10.12.19.23.2002: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.223743 IP 10.12.100.44.55669 > 10.12.19.23.61532: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.223753 IP 10.12.100.44.55669 > 10.12.19.23.1433: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.223755 IP 10.12.100.44.55669 > 10.12.19.23.15004: Flags [.], ack 3264751317, win 1024, length 0
